id,Country,Place Name,region,lon,lat,coordinates,bounding_box,admin_level,Est. Population,Total (t CO2),CO2 per capita,airports,buildings,ets,farms,fuelstations,harbours,refineries,tiox,trains,restaurants,pubs,bars_cafes,biergarten,fast_foods,food_courts,ice_cream,churches,museums,castles,artworks,theatres,monuments,amphitheatres,gyms,swimming_pools,sports_halls,tennis_fields,padel_fields,soccer_fields,sport_shops,stadiums,spa,markets,supermarkets,clothes_shops,electronics_shops,jewelry_shops,parks,picnic_areas,rivers,lakes,trails
0,'italy','Acceglio',' Piemonte',44.474627,6.990918,ST_GeogFromText('POINT(6.990918 44.474627)'),"'(6.980918, 44.464627, 7.0009179999999995, 44.484626999999996)'",8,165.757078833038,7915,47.7506001898872,0,7585,0,330,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
1,'italy','Acqui Terme',' Piemonte',44.675145,8.467546,ST_GeogFromText('POINT(8.467546 44.675145)'),"'(8.457546, 44.665145, 8.477546, 44.685145)'",8,20151.0795697693,86080,4.27173143264927,0,34817,0,4059,47151,0,0,0,53,12,0,21,0,4,0,2,10,1,1,5,0,0,0,0,25,0,0,0,0,0,1,1,1,4,2,0,0,7,0,3,4,0
2,'italy','Agliano Terme',' Piemonte',44.7910116,8.2499878,ST_GeogFromText('POINT(8.2499878 44.7910116)'),"'(8.2399878, 44.7810116, 8.2599878, 44.801011599999995)'",8,1586.43736226048,12989,8.187527795924,0,5550,0,132,7254,0,0,0,53,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
3,'italy','Agliè',' Piemonte',45.367055,7.766918,ST_GeogFromText('POINT(7.766918 45.367055)'),"'(7.756918000000001, 45.357055, 7.776918, 45.377055)'",8,2569.48617005286,21528,8.37832880787879,0,6327,0,693,14508,0,0,0,0,3,0,3,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0
4,'italy','Agrate Conturbia',' Piemonte',45.675837,8.5598116,ST_GeogFromText('POINT(8.5598116 45.675837)'),"'(8.5498116, 45.665837, 8.5698116, 45.685837)'",8,1677.96599208633,13769,8.20576821278721,0,11063,0,2706,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
5,'italy','Ailoche',' Piemonte',45.6982914,8.2212127,ST_GeogFromText('POINT(8.2212127 45.6982914)'),"'(8.2112127, 45.688291400000004, 8.2312127, 45.7082914)'",8,269.718559047207,5920,21.9488047871554,0,5920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,'italy','Airasca',' Piemonte',44.917042,7.484321,ST_GeogFromText('POINT(7.484321 44.917042)'),"'(7.474321, 44.907042000000004, 7.494320999999999, 44.927042)'",8,3877.87308859077,25595,6.60026757330042,0,6253,4418,363,14508,0,0,0,53,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
7,'italy','Airole',' Liguria',43.871038,7.5541812,ST_GeogFromText('POINT(7.5541812 43.871038)'),"'(7.544181200000001, 43.861038, 7.5641812, 43.881038)'",8,454.312902598103,6730,14.8135788385335,0,6697,0,33,0,0,0,0,0,4,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
8,'italy','Aisone',' Piemonte',44.313925,7.219626,ST_GeogFromText('POINT(7.219626 44.313925)'),"'(7.209626, 44.303925, 7.229626, 44.323924999999996)'",8,251.523302689318,4063,16.1535728759837,0,3700,0,363,0,0,0,0,0,1,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,'italy','Ala di Stura',' Piemonte',45.31515,7.305909,ST_GeogFromText('POINT(7.305909 45.31515)'),"'(7.295909, 45.305150000000005, 7.3159089999999996, 45.32515)'",8,451.157494788918,7993,17.7166512633014,0,6475,0,1518,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0
10,'italy','Alagna Valsesia',' Piemonte',45.8512107,7.9371767,ST_GeogFromText('POINT(7.9371767 45.8512107)'),"'(7.9271767, 45.841210700000005, 7.9471767, 45.8612107)'",8,657.555336797668,26580,40.4224534614016,0,22755,0,198,3627,0,0,0,0,9,1,6,0,0,0,1,18,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,3,0
11,'italy','Alassio',' Liguria',44.0080109,8.1730265,ST_GeogFromText('POINT(8.1730265 44.0080109)'),"'(8.1630265, 43.998010900000004, 8.1830265, 44.0180109)'",8,10965.9265423211,40255,3.67091643780787,0,29341,0,33,10881,0,0,0,0,16,0,11,0,4,0,2,16,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,1,6,0,0,4,0,0,1,0
12,'italy','Alba',' Piemonte',44.7007236,8.0357786,ST_GeogFromText('POINT(8.0357786 44.7007236)'),"'(8.0257786, 44.690723600000005, 8.0457786, 44.7107236)'",8,30935.0498921326,355609,11.4953427015626,0,53835,223376,2178,76167,0,0,0,53,37,1,27,0,1,0,3,10,3,0,2,1,2,0,1,6,0,0,0,0,0,0,0,0,4,3,0,0,9,0,1,2,0
13,'italy','Albano Vercellese',' Piemonte',45.4253071,8.3809935,ST_GeogFromText('POINT(8.3809935 45.4253071)'),"'(8.3709935, 45.4153071, 8.3909935, 45.435307099999996)'",8,329.252419284894,8209,24.93223897285,0,2368,0,5841,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0
14,'italy','Albaretto della Torre',' Piemonte',44.5959108,8.0640642,ST_GeogFromText('POINT(8.0640642 44.5959108)'),"'(8.054064200000001, 44.5859108, 8.0740642, 44.6059108)'",8,207.373811716214,2956,14.254451782201,0,2923,0,33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,'italy','Albenga',' Liguria',44.0492503,8.2131239,ST_GeogFromText('POINT(8.2131239 44.0492503)'),"'(8.2031239, 44.0392503, 8.2231239, 44.059250299999995)'",8,23495.4306589065,138213,5.88254805823731,0,72298,0,18711,47151,0,0,0,53,17,0,8,0,1,0,2,10,7,0,0,1,1,0,0,17,0,0,0,0,1,1,0,0,9,3,0,1,4,0,1,1,0
16,'italy','Albera Ligure',' Piemonte',44.702351,9.066158,ST_GeogFromText('POINT(9.066158 44.702351)'),"'(9.056158, 44.692351, 9.076158, 44.712351)'",8,303.414793740085,1546,5.09533494047213,0,1480,0,66,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,'italy','Albiano d'Ivrea',' Piemonte',45.432959,7.950621,ST_GeogFromText('POINT(7.950621 45.432959)'),"'(7.940621, 45.422959, 7.960621, 45.442958999999995)'",8,1774.28161548122,9544,5.37907844883545,0,2257,0,33,7254,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,'italy','Albisola Superiore',' Liguria',44.339838,8.509353,ST_GeogFromText('POINT(8.509353 44.339838)'),"'(8.499353000000001, 44.329838, 8.519353, 44.349838)'",8,10344.7096751377,32459,3.13773909750328,0,23865,0,1287,7254,0,0,0,53,15,2,26,0,5,0,4,13,3,2,72,2,1,0,5,14,0,0,0,0,1,0,2,1,8,5,1,4,5,7,0,4,0
19,'italy','Albissola Marina',' Liguria',44.3272723,8.5031895,ST_GeogFromText('POINT(8.5031895 44.3272723)'),"'(8.4931895, 44.3172723, 8.5131895, 44.337272299999995)'",8,5443.94335521001,7553,1.38741340737346,0,7289,0,264,0,0,0,0,0,20,2,29,0,5,0,4,10,5,0,62,1,0,0,3,22,0,0,0,0,0,0,3,1,7,2,0,4,6,7,0,2,0
20,'italy','Albugnano',' Piemonte',45.0779664,7.9711535,ST_GeogFromText('POINT(7.9711535 45.0779664)'),"'(7.9611535, 45.0679664, 7.9811535, 45.0879664)'",8,570.157645836473,3335,5.8492594536854,0,3071,0,264,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
21,'italy','Alessandria',' Piemonte',44.83495335,8.745030418605868,ST_GeogFromText('POINT(8.745030418605868 44.83495335)'),"'(8.735030418605868, 44.82495335, 8.755030418605868, 44.84495335)'",8,89957.5642147999,437204,4.86011380828463,0,132386,140118,8580,155961,0,0,0,159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,'italy','Alfiano Natta',' Piemonte',45.048552,8.208334,ST_GeogFromText('POINT(8.208334 45.048552)'),"'(8.198334000000001, 45.038552, 8.218334, 45.058552)'",8,744.787138545973,909,1.22048294466338,0,777,0,132,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,'italy','Alice Bel Colle',' Piemonte',44.726046,8.450745,ST_GeogFromText('POINT(8.450745 44.726046)'),"'(8.440745, 44.716046, 8.460745, 44.736045999999995)'",8,767.166065196099,2923,3.81012681948182,0,2923,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,'italy','Alice Castello',' Piemonte',45.365158,8.072925,ST_GeogFromText('POINT(8.072925 45.365158)'),"'(8.062925, 45.355158, 8.082925, 45.375158)'",8,2713.068591966,5838,2.15180700454372,0,1221,0,990,3627,0,0,0,0,2,1,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
25,'italy','Allein',' Valle d'Aosta / Vallée d'Aoste',45.8078386,7.2725119,ST_GeogFromText('POINT(7.2725119 45.8078386)'),"'(7.2625119, 45.7978386, 7.282511899999999, 45.817838599999995)'",8,247.494845033973,2775,11.212354744678,0,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,'italy','Alluvioni Piovera',' Piemonte',44.9824635,8.7523976,ST_GeogFromText('POINT(8.7523976 44.9824635)'),"'(8.7423976, 44.9724635, 8.7623976, 44.9924635)'",8,1828.94743549718,6920,3.78359698353982,0,6623,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
27,'italy','Almese',' Piemonte',45.1168763,7.39455,ST_GeogFromText('POINT(7.39455 45.1168763)'),"'(7.38455, 45.1068763, 7.4045499999999995, 45.1268763)'",8,6633.07551074057,17172,2.58884434108949,0,2664,0,0,14508,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,2,0
28,'italy','Alpette',' Piemonte',45.408916,7.578978,ST_GeogFromText('POINT(7.578978 45.408916)'),"'(7.568978, 45.398916, 7.588978, 45.418915999999996)'",8,259.20310798203,3108,11.9905969654325,0,3108,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0
29,'italy','Alpignano',' Piemonte',45.0957237,7.5254027,ST_GeogFromText('POINT(7.5254027 45.0957237)'),"'(7.5154027, 45.0857237, 7.5354027, 45.1057237)'",8,16906.4641456293,32161,1.90229013724992,0,9620,0,726,21762,0,0,0,53,4,0,10,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,18,0,1,2,0
30,'italy','Altare',' Liguria',44.3359819,8.3399306,ST_GeogFromText('POINT(8.3399306 44.3359819)'),"'(8.3299306, 44.3259819, 8.3499306, 44.3459819)'",8,2077.30539294332,65629,31.5933325080385,0,9694,52011,297,3627,0,0,0,0,6,0,5,0,1,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,'italy','Altavilla Monferrato',' Piemonte',44.993552,8.375938,ST_GeogFromText('POINT(8.375938 44.993552)'),"'(8.365938, 44.983552, 8.385938, 45.003552)'",8,470.616185151652,1480,3.14481321870195,0,1480,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,'italy','Alto Sermenza',' Piemonte',45.8726585,8.0381574,ST_GeogFromText('POINT(8.0381574 45.8726585)'),"'(8.0281574, 45.8626585, 8.0481574, 45.8826585)'",8,173.43294529221,14911,85.9755911708531,0,14911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,'italy','Alto',' Piemonte',44.1089458,8.003074,ST_GeogFromText('POINT(8.003074 44.1089458)'),"'(7.993074, 44.0989458, 8.013074, 44.1189458)'",8,126.931649313425,2201,17.3400409740616,0,1739,0,462,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
34,'italy','Alzano Scrivia',' Piemonte',45.018057,8.880649,ST_GeogFromText('POINT(8.880649 45.018057)'),"'(8.870649, 45.008057, 8.890649, 45.028057)'",8,361.149162256101,103,0.285200716946312,0,37,0,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
35,'italy','Ameglia',' Liguria',44.0659288,9.9574096,ST_GeogFromText('POINT(9.9574096 44.0659288)'),"'(9.9474096, 44.055928800000004, 9.9674096, 44.0759288)'",8,4276.46281415585,36285,8.48481597452227,0,24975,0,429,10881,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
36,'italy','Ameno',' Piemonte',45.7886563,8.4413106,ST_GeogFromText('POINT(8.4413106 45.7886563)'),"'(8.4313106, 45.7786563, 8.4513106, 45.7986563)'",8,852.097549717175,9264,10.8719946478838,0,8769,0,495,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
37,'italy','Andezeno',' Piemonte',45.037748,7.870527,ST_GeogFromText('POINT(7.870527 45.037748)'),"'(7.860527, 45.027748, 7.880527, 45.047748)'",8,2103.12149167416,26624,12.6592781755116,0,7400,0,1089,18135,0,0,0,0,3,0,3,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
38,'italy','Andora',' Liguria',43.9519286,8.1456487,ST_GeogFromText('POINT(8.1456487 43.9519286)'),"'(8.1356487, 43.941928600000004, 8.1556487, 43.9619286)'",8,7617.99206770858,66483,8.72710281253909,0,36556,0,858,29016,0,0,0,53,9,0,17,0,0,0,6,5,2,0,7,0,0,0,9,14,0,0,0,0,1,0,0,0,6,2,0,0,9,0,0,4,0
39,'italy','Andorno Micca',' Piemonte',45.609264,8.05272,ST_GeogFromText('POINT(8.05272 45.609264)'),"'(8.042720000000001, 45.599264000000005, 8.06272, 45.619264)'",8,3049.67385104526,23905,7.83854312545806,0,13024,0,0,10881,0,0,0,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
40,'italy','Andrate',' Piemonte',45.52736,7.880318,ST_GeogFromText('POINT(7.880318 45.52736)'),"'(7.870318, 45.517360000000004, 7.890318, 45.53736)'",8,517.71753310936,3256,6.28914377391236,0,3256,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,'italy','Angrogna',' Piemonte',44.8435587,7.2236406,ST_GeogFromText('POINT(7.2236406 44.8435587)'),"'(7.213640600000001, 44.833558700000005, 7.2336406, 44.8535587)'",8,946.407562409251,20609,21.7760305586909,0,20609,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,'italy','Antey-Saint-André',' Valle d'Aosta / Vallée d'Aoste',45.804751,7.5929626,ST_GeogFromText('POINT(7.5929626 45.804751)'),"'(7.5829626, 45.794751000000005, 7.6029626, 45.814751)'",8,608.710392247973,14580,23.9522771184437,0,7326,0,0,7254,0,0,0,0,2,0,2,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
43,'italy','Antignano',' Piemonte',44.8450593,8.1348403,ST_GeogFromText('POINT(8.1348403 44.8450593)'),"'(8.1248403, 44.835059300000005, 8.1448403, 44.8550593)'",8,1032.03676111344,255,0.247084221810942,0,222,0,33,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,'italy','Antrona Schieranco',' Piemonte',46.05688015,8.09645989420142,ST_GeogFromText('POINT(8.09645989420142 46.05688015)'),"'(8.08645989420142, 46.04688015, 8.10645989420142, 46.066880149999996)'",8,433.464423333742,11063,25.5222791178923,0,11063,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
45,'italy','Anzola d'Ossola',' Piemonte',45.988976,8.344519,ST_GeogFromText('POINT(8.344519 45.988976)'),"'(8.334519, 45.978976, 8.354519, 45.998976)'",8,444.433456924453,814,1.83154527931584,0,814,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
46,'italy','Aosta',' Valle d'Aosta / Vallée d'Aoste',45.7370885,7.3196649,ST_GeogFromText('POINT(7.3196649 45.7370885)'),"'(7.3096649000000005, 45.7270885, 7.3296649, 45.7470885)'",8,34010.507079677,209340,6.15515668465559,0,36815,99866,66,72540,0,0,0,53,61,2,47,1,5,0,3,9,2,0,1,1,3,0,2,1,0,0,0,0,2,1,3,1,6,21,0,2,5,0,2,3,0
47,'italy','Apricale',' Liguria',43.8803889,7.6602096,ST_GeogFromText('POINT(7.6602096 43.8803889)'),"'(7.6502096, 43.8703889, 7.6702096, 43.8903889)'",8,628.85367011989,20630,32.8057240980512,0,20498,0,132,0,0,0,0,0,4,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,'italy','Aquila d'Arroscia',' Liguria',44.085927,8.005247,ST_GeogFromText('POINT(8.005247 44.085927)'),"'(7.995247000000001, 44.075927, 8.015247, 44.095926999999996)'",8,161.645969281286,2904,17.9651865921052,0,2442,0,462,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,'italy','Aramengo',' Piemonte',45.1010819,8.0005276,ST_GeogFromText('POINT(8.0005276 45.1010819)'),"'(7.9905276, 45.0910819, 8.0105276, 45.111081899999995)'",8,636.324364276719,851,1.3373682476661,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,'italy','Arborio',' Piemonte',45.494964,8.385329,ST_GeogFromText('POINT(8.385329 45.494964)'),"'(8.375329, 45.484964000000005, 8.395329, 45.504964)'",8,855.25536588463,3978,4.65124237587843,0,3219,0,759,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
51,'italy','Arcola',' Liguria',44.1143821,9.9059673,ST_GeogFromText('POINT(9.9059673 44.1143821)'),"'(9.8959673, 44.1043821, 9.9159673, 44.1243821)'",8,10052.0289781423,47335,4.70899955650027,0,39183,0,792,7254,0,0,0,106,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0
52,'italy','Arenzano',' Liguria',44.4025183,8.6831317,ST_GeogFromText('POINT(8.6831317 44.4025183)'),"'(8.6731317, 44.3925183, 8.6931317, 44.412518299999995)'",8,11638.8089993726,35463,3.04696124851877,0,21460,0,3069,10881,0,0,0,53,37,1,34,0,4,0,6,6,0,1,3,0,1,0,3,68,0,0,0,0,0,0,2,1,7,11,4,5,3,1,0,18,0
53,'italy','Argentera',' Piemonte',44.374629049999996,6.954209480373419,ST_GeogFromText('POINT(6.954209480373419 44.374629049999996)'),"'(6.944209480373419, 44.36462905, 6.964209480373419, 44.384629049999994)'",8,70.9466201294708,3470,48.9100114095299,0,3404,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,'italy','Arguello',' Piemonte',44.58274,8.11084,ST_GeogFromText('POINT(8.11084 44.58274)'),"'(8.10084, 44.57274, 8.12084, 44.59274)'",8,158.488613652997,2627,16.5753232326941,0,2627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
55,'italy','Arignano',' Piemonte',45.0402748,7.9015941,ST_GeogFromText('POINT(7.9015941 45.0402748)'),"'(7.8915941, 45.0302748, 7.911594099999999, 45.0502748)'",8,958.013198290137,6444,6.72642090056928,0,5883,0,561,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
56,'italy','Arizzano',' Piemonte',45.9566296,8.5838347,ST_GeogFromText('POINT(8.5838347 45.9566296)'),"'(8.5738347, 45.9466296, 8.5938347, 45.9666296)'",8,2086.91887256317,4736,2.26937427336752,0,4736,0,0,0,0,0,0,0,4,0,4,0,0,0,0,14,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,'italy','Armeno',' Piemonte',45.8224566,8.4391986,ST_GeogFromText('POINT(8.4391986 45.8224566)'),"'(8.4291986, 45.812456600000004, 8.449198599999999, 45.8324566)'",8,2176.56931009548,21298,9.78512372714917,0,16021,0,1650,3627,0,0,0,0,3,0,1,0,0,0,0,7,1,0,10,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0
58,'italy','Armo',' Liguria',44.0879649,7.9147826,ST_GeogFromText('POINT(7.9147826 44.0879649)'),"'(7.9047826, 44.077964900000005, 7.9247825999999995, 44.0979649)'",8,120.510659739375,2863,23.7572344736285,0,2368,0,495,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
59,'italy','Arnad',' Valle d'Aosta / Vallée d'Aoste',45.644475,7.7221826,ST_GeogFromText('POINT(7.7221826 45.644475)'),"'(7.7121826, 45.634475, 7.7321826, 45.654475)'",8,1281.67137222733,10915,8.51622360966955,0,10915,0,0,0,0,0,0,0,4,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,1,6,0
60,'italy','Arnasco',' Liguria',44.078228,8.107449,ST_GeogFromText('POINT(8.107449 44.078228)'),"'(8.097449000000001, 44.068228000000005, 8.117449, 44.088228)'",8,650.433930865955,4042,6.21431295046168,0,3811,0,231,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,'italy','Arola',' Piemonte',45.8083565,8.3574649,ST_GeogFromText('POINT(8.3574649 45.8083565)'),"'(8.3474649, 45.798356500000004, 8.3674649, 45.8183565)'",8,236.055019098625,5661,23.9816972399761,0,5661,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,'italy','Arona',' Piemonte',45.7598366,8.5604081,ST_GeogFromText('POINT(8.5604081 45.7598366)'),"'(8.5504081, 45.7498366, 8.5704081, 45.7698366)'",8,14030.345722456,49523,3.52970632225669,0,26751,0,957,21762,0,0,0,53,26,2,27,1,5,0,4,9,3,0,9,1,0,0,4,17,0,0,0,0,2,0,0,0,2,8,0,5,7,2,3,2,0
63,'italy','Arquata Scrivia',' Piemonte',44.6878448,8.8853385,ST_GeogFromText('POINT(8.8853385 44.6878448)'),"'(8.8753385, 44.6778448, 8.8953385, 44.6978448)'",8,6112.64081400714,23836,3.89946027016338,0,9176,0,99,14508,0,0,0,53,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0
64,'italy','Arvier',' Valle d'Aosta / Vallée d'Aoste',45.7024511,7.1664709,ST_GeogFromText('POINT(7.1664709 45.7024511)'),"'(7.1564709, 45.6924511, 7.1764709, 45.712451099999996)'",8,902.024755880644,5344,5.92444937365679,0,5291,0,0,0,0,0,0,53,4,0,1,0,0,0,0,2,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,4,0
65,'italy','Asigliano Vercellese',' Piemonte',45.2615784,8.4085008,ST_GeogFromText('POINT(8.4085008 45.2615784)'),"'(8.3985008, 45.2515784, 8.4185008, 45.271578399999996)'",8,1376.94110885316,59353,43.1049662315873,0,5698,0,50028,3627,0,0,0,0,2,0,3,0,0,0,0,4,0,0,3,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
66,'italy','Asti',' Piemonte',44.826012649999996,8.202686328987273,ST_GeogFromText('POINT(8.202686328987273 44.826012649999996)'),"'(8.192686328987273, 44.81601265, 8.212686328987273, 44.836012649999994)'",8,74283.6834207098,356587,4.80034084982633,0,115107,54139,2046,184977,0,0,0,318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,'italy','Aurano',' Piemonte',45.9991106,8.5883112,ST_GeogFromText('POINT(8.5883112 45.9991106)'),"'(8.5783112, 45.989110600000004, 8.5983112, 46.0091106)'",8,91.5325185908587,1480,16.1691169737769,0,1480,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
